name,price,product_category,rating
A Light in the Attic,51.77,poetry_23,Three
Tipping the Velvet,53.74,historical-fiction_4,One
Soumission,50.10,fiction_10,One
Sharp Objects,47.82,mystery_3,Four
Sapiens: A Brief History of Humankind,54.23,history_32,Five
The Requiem Red,22.65,young-adult_21,One
The Dirty Little Secrets of Getting Your Dream Job,33.34,business_35,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,default_15,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.60,default_15,Four
The Black Maria,52.15,poetry_23,One
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,default_15,Two
Shakespeare's Sonnets,20.66,poetry_23,Four
Set Me Free,17.46,young-adult_21,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,sequential-art_5,Five
Rip it Up and Start Again,35.02,music_14,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,music_14,Three
Olio,23.88,poetry_23,One
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,science-fiction_16,One
Libertarianism for Beginners,51.33,politics_48,Two
It's Only the Himalayas,45.17,travel_2,Two
In Her Wake,12.84,thriller_37,One
How Music Works,37.32,music_14,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,food-and-drink_33,Three
Chase Me (Paris Nights #2),25.27,romance_8,Five
Black Dust,34.53,romance_8,Five
Birdsong: A Story in Pictures,54.64,childrens_11,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.50,default_15,Three
Aladdin and His Wonderful Lamp,53.13,default_15,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.30,nonfiction_13,Five
Wall and Piece,44.18,art_25,Four
The Four Agreements: A Practical Guide to Personal Freedom,17.66,spirituality_39,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,nonfiction_13,Three
The Elephant Tree,23.82,thriller_37,Five
The Bear and the Piano,36.89,childrens_11,One
Sophie's World,15.94,philosophy_7,Five
Penny Maybe,33.29,default_15,Three
Maude (1883-1993):She Grew Up with the country,18.02,default_15,Two
"In a Dark, Dark Wood",19.63,mystery_3,One
Behind Closed Doors,52.22,thriller_37,Four
You can't bury them all: Poems,33.63,poetry_23,Two
Slow States of Collapse: Poems,57.31,poetry_23,Three
Reasons to Stay Alive,26.41,nonfiction_13,Two
Private Paris (Private #10),47.61,fiction_10,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,nonfiction_13,Five
Without Borders (Wanderlove #1),45.07,new-adult_20,Two
When We Collided,31.77,contemporary_38,One
"We Love You, Charlie Freeman",50.27,fiction_10,Five
Untitled Collection: Sabbath Poems 2014,14.27,poetry_23,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,nonfiction_13,Four
Unicorn Tracks,18.78,fantasy_19,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,history_32,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,sequential-art_5,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,nonfiction_13,Three
This One Summer,19.49,sequential-art_5,Four
Thirst,17.27,fiction_10,Five
The Torch Is Passed: A Harding Family Story,19.09,add-a-comment_18,One
The Secret of Dreadwillow Carse,56.13,childrens_11,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,food-and-drink_33,One
The Past Never Ends,56.50,mystery_3,Four
The Natural History of Us (The Fine Art of Pretending #2),45.22,young-adult_21,Three
The Nameless City (The Nameless City #1),38.16,sequential-art_5,Four
The Murder That Never Was (Forensic Instincts #5),54.11,fiction_10,Three
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,science_22,Four
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,add-a-comment_18,Four
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,nonfiction_13,Three
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,default_15,Five
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,nonfiction_13,One
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,nonfiction_13,One
The Death of Humanity: and the Case for Life,58.11,philosophy_7,Four
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,health_47,Three
The Art Forger,40.76,add-a-comment_18,Three
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,history_32,One
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,spirituality_39,Five
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,nonfiction_13,Four
Soul Reader,39.58,default_15,Two
Security,39.25,horror_31,Two
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,fantasy_19,Three
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,sequential-art_5,Two
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,nonfiction_13,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,sequential-art_5,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,sequential-art_5,Five
Princess Between Worlds (Wide-Awake Princess #5),13.34,fantasy_19,Five
"Pop Gun War, Volume 1: Gift",18.97,sequential-art_5,One
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,history_32,Two
Patience,10.16,sequential-art_5,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,sequential-art_5,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,sequential-art_5,One
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,self-help_41,One
On a Midnight Clear,14.07,add-a-comment_18,Three
Obsidian (Lux #1),14.86,young-adult_21,Two
My Paris Kitchen: Recipes and Stories,33.37,food-and-drink_33,Two
Masks and Shadows,56.40,fantasy_19,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,food-and-drink_33,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,sequential-art_5,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,sequential-art_5,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,sequential-art_5,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,food-and-drink_33,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,add-a-comment_18,Two
Join,35.67,science-fiction_16,Five
In the Country We Love: My Family Divided,22.00,nonfiction_13,Four
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,science_22,Five
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,sequential-art_5,Two
I am a Hero Omnibus Volume 1,54.63,sequential-art_5,Three
How to Be Miserable: 40 Strategies You Already Use,46.03,self-help_41,One
Her Backup Boyfriend (The Sorensen Family #1),33.97,romance_8,One
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,sequential-art_5,Two
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,historical-fiction_4,Three
First and First (Five Boroughs #3),15.97,romance_8,Four
Fifty Shades Darker (Fifty Shades #2),21.96,romance_8,One
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,nonfiction_13,Two
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,religion_12,Two
Danganronpa Volume 1,51.99,sequential-art_5,Four
